age,studytime,Walc,absences,G3
18,2,1,4,11
17,2,1,2,11
15,2,3,6,12
15,3,1,0,14
16,2,2,0,13
16,2,2,6,13
16,2,1,0,13
17,2,1,2,13
15,2,1,0,17
15,2,1,0,13
15,2,2,2,14
15,3,1,0,13
15,1,3,0,12
15,2,2,0,13
15,3,1,0,15
16,1,2,6,17
16,3,2,10,14
16,2,1,2,14
17,1,4,2,7
16,1,3,6,12
15,2,1,0,14
15,1,1,0,12
16,2,3,0,14
16,2,4,2,10
15,3,1,2,10
16,1,3,6,12
15,1,2,8,12
15,1,4,0,11
16,2,1,2,13
16,2,5,4,12
15,2,4,0,11
15,2,1,2,15
15,2,1,0,15
15,2,1,0,12
16,1,1,4,12
15,1,1,4,11
15,3,1,0,14
16,3,1,4,13
15,3,1,2,12
15,1,1,8,12
16,2,2,16,10
15,1,4,8,11
15,2,1,0,15
15,1,1,0,10
16,2,2,14,11
15,2,1,4,11
16,2,4,6,13
16,4,1,2,17
15,2,2,4,13
15,2,1,2,12
16,2,3,0,13
15,2,1,0,16
15,1,4,4,9
15,1,3,0,12
15,1,4,0,13
16,2,1,2,12
15,2,1,0,15
15,2,1,8,16
15,2,1,0,14
16,2,1,2,16
16,2,3,0,16
16,1,5,0,16
16,2,1,0,10
16,3,4,0,13
15,2,4,0,12
16,2,2,2,16
15,4,5,0,12
16,4,2,0,10
15,2,3,0,11
15,4,3,6,15
16,4,1,2,11
15,4,1,0,10
15,2,4,2,11
16,1,2,0,14
16,2,4,4,11
15,2,3,0,11
15,4,1,0,11
16,4,3,1,13
17,1,1,0,10
16,2,2,14,11
15,1,3,0,12
15,3,2,2,9
15,2,1,4,11
15,2,3,2,13
15,2,3,2,12
15,2,3,4,12
16,2,2,6,11
15,3,3,4,15
16,2,1,6,11
16,2,5,6,10
16,3,3,2,11
15,1,3,6,13
16,2,3,0,12
16,2,1,2,14
15,4,1,2,12
15,4,1,4,13
16,1,1,6,11
16,2,1,0,12
16,1,2,4,13
16,3,1,2,13
16,1,5,12,8
16,3,1,0,16
15,1,1,2,12
15,2,1,16,10
15,2,1,0,16
15,4,1,10,10
15,4,1,4,10
16,3,1,4,14
15,4,5,8,11
16,3,1,2,14
15,1,1,4,14
16,3,1,4,11
16,2,1,12,10
15,1,1,10,18
15,2,1,4,10
16,2,2,6,14
15,2,1,4,16
16,1,1,6,15
17,2,4,14,11
15,1,2,2,14
15,2,2,0,14
15,4,2,6,13
16,2,2,2,13
16,1,4,4,13
16,2,1,0,11
15,1,2,2,9
15,2,1,0,11
19,2,1,0,11
16,1,5,8,15
16,3,2,4,13
15,3,2,0,12
18,2,3,10,8
17,1,2,8,11
15,1,2,6,13
17,1,3,2,12
16,1,4,12,14
16,1,1,4,11
16,1,1,12,11
15,2,1,2,11
15,3,1,4,15
17,2,4,2,10
16,2,1,0,13
18,1,5,2,12
18,3,1,10,11
16,1,2,8,11
16,1,1,4,10
16,2,3,0,10
15,1,1,6,14
15,1,1,2,9
15,4,1,6,11
15,2,3,24,9
16,3,3,0,13
16,1,2,4,11
15,3,1,2,13
16,1,3,4,11
17,1,2,22,6
15,2,2,0,12
15,1,1,0,10
15,2,1,2,11
15,2,1,6,13
15,2,4,6,11
16,1,1,16,8
15,1,5,0,11
18,1,5,0,0
16,1,5,6,10
15,3,3,2,13
19,1,1,6,11
17,1,1,0,13
15,2,1,0,8
17,1,3,14,10
18,1,5,6,11
16,1,2,4,11
16,2,4,0,1
16,1,5,0,10
17,1,2,8,9
17,2,4,4,8
15,1,4,2,10
16,1,4,2,8
17,2,5,0,8
17,1,1,10,8
16,2,4,0,11
16,2,1,0,18
16,2,1,0,13
16,2,1,0,17
16,1,4,4,10
16,2,1,0,18
17,2,3,0,10
16,2,1,0,13
16,2,1,0,15
17,2,4,0,11
16,2,4,0,14
17,2,4,4,10
16,1,4,8,11
17,2,1,4,13
16,2,3,4,11
16,2,2,0,13
17,2,3,0,17
17,2,3,32,14
16,2,2,8,16
17,2,3,6,14
16,1,2,0,11
16,2,2,0,16
17,2,3,10,14
17,2,5,6,10
16,2,1,6,13
17,2,1,0,12
17,2,5,16,12
16,1,4,0,10
16,1,1,0,12
17,2,1,8,16
17,1,2,4,14
16,1,5,16,12
17,1,3,30,16
16,2,2,0,11
16,2,5,2,15
16,2,3,4,12
17,2,3,0,15
17,1,2,21,13
16,4,1,6,13
17,3,4,14,8
16,2,2,2,12
16,2,1,4,15
16,1,4,2,13
17,3,1,0,12
19,4,2,4,12
17,2,5,15,12
16,2,1,0,13
18,2,4,10,11
17,1,2,6,11
17,2,3,2,15
17,2,4,16,10
18,2,4,10,10
17,1,4,4,13
17,3,1,0,13
17,2,2,0,11
17,3,1,12,12
16,2,1,0,14
18,2,5,9,10
16,3,1,4,16
18,2,1,4,8
17,2,3,2,17
17,2,3,0,11
18,2,5,2,11
17,3,2,0,16
17,2,2,0,12
17,2,1,0,13
17,2,3,0,13
16,2,4,0,14
16,2,1,2,9
16,3,3,0,12
17,2,5,0,16
16,1,1,4,10
16,2,2,0,13
18,2,1,18,10
18,2,1,16,10
18,1,1,14,7
18,1,2,26,8
17,1,2,6,9
17,2,1,4,15
17,3,2,10,10
16,1,2,4,11
17,2,1,2,13
17,1,1,14,8
18,2,5,16,8
17,1,1,8,10
17,3,3,4,15
17,2,1,4,14
17,2,4,8,15
17,2,3,0,12
16,1,1,7,15
16,1,2,4,15
17,2,4,2,12
17,3,1,2,15
17,3,3,10,11
17,2,1,10,10
18,3,1,10,11
16,1,1,7,16
17,2,2,4,11
17,1,1,2,13
22,1,5,12,5
18,2,3,8,10
16,1,4,0,11
18,1,4,8,7
16,2,3,4,10
18,1,5,4,6
16,1,3,2,12
17,1,4,0,13
17,1,2,0,10
18,2,3,2,13
17,4,1,2,17
19,2,1,0,11
18,2,4,4,11
17,3,3,2,14
18,3,3,4,14
18,2,1,4,13
19,2,1,4,14
18,2,2,2,16
17,1,1,0,10
17,4,1,2,12
20,2,2,8,12
18,2,3,2,15
18,2,1,2,11
18,3,1,2,12
17,3,1,2,13
18,3,1,0,13
17,1,3,8,9
18,2,4,6,16
17,2,4,0,14
18,2,2,8,12
18,2,3,4,14
18,2,2,12,10
19,2,3,16,12
18,4,3,10,16
18,2,1,2,13
17,2,2,2,18
18,2,2,8,15
17,2,1,6,16
17,2,3,6,12
18,2,1,15,10
18,1,4,6,12
18,2,1,2,13
17,3,1,8,15
19,2,3,0,10
18,1,2,0,10
18,1,4,10,11
17,1,4,22,10
17,1,4,18,13
18,4,1,2,18
18,2,1,0,13
17,2,2,12,14
18,2,1,10,14
